t	H	V	T	P
1.174e+00	-6.765e+02	-6.767423e+02	1.662e-01	0.000e+00
1.178e+00	-6.765e+02	-6.767340e+02	1.609e-01	0.000e+00
1.182e+00	-6.765e+02	-6.767194e+02	1.515e-01	0.000e+00
1.186e+00	-6.765e+02	-6.767010e+02	1.398e-01	0.000e+00
1.190e+00	-6.765e+02	-6.766822e+02	1.277e-01	0.000e+00
1.194e+00	-6.765e+02	-6.766660e+02	1.173e-01	0.000e+00
1.198e+00	-6.765e+02	-6.766552e+02	1.104e-01	0.000e+00
1.202e+00	-6.765e+02	-6.766512e+02	1.079e-01	0.000e+00
1.206e+00	-6.765e+02	-6.766545e+02	1.099e-01	0.000e+00
1.210e+00	-6.765e+02	-6.766637e+02	1.158e-01	0.000e+00
1.214e+00	-6.765e+02	-6.766768e+02	1.242e-01	0.000e+00
1.218e+00	-6.765e+02	-6.766910e+02	1.333e-01	0.000e+00
1.222e+00	-6.765e+02	-6.767035e+02	1.413e-01	0.000e+00
1.226e+00	-6.765e+02	-6.767121e+02	1.468e-01	0.000e+00
1.230e+00	-6.765e+02	-6.767153e+02	1.489e-01	0.000e+00
1.234e+00	-6.765e+02	-6.767130e+02	1.474e-01	0.000e+00
1.238e+00	-6.765e+02	-6.767058e+02	1.428e-01	0.000e+00
1.242e+00	-6.765e+02	-6.766956e+02	1.363e-01	0.000e+00
1.246e+00	-6.765e+02	-6.766844e+02	1.291e-01	0.000e+00
1.250e+00	-6.765e+02	-6.766745e+02	1.228e-01	0.000e+00
1.254e+00	-6.765e+02	-6.766680e+02	1.186e-01	0.000e+00
1.258e+00	-6.765e+02	-6.766664e+02	1.176e-01	0.000e+00
1.262e+00	-6.765e+02	-6.766705e+02	1.202e-01	0.000e+00
1.266e+00	-6.765e+02	-6.766800e+02	1.263e-01	0.000e+00
1.270e+00	-6.765e+02	-6.766938e+02	1.351e-01	0.000e+00
1.274e+00	-6.765e+02	-6.767096e+02	1.453e-01	0.000e+00
1.278e+00	-6.765e+02	-6.767247e+02	1.549e-01	0.000e+00
1.282e+00	-6.765e+02	-6.767361e+02	1.622e-01	0.000e+00
1.286e+00	-6.765e+02	-6.767410e+02	1.653e-01	0.000e+00
1.290e+00	-6.765e+02	-6.767376e+02	1.631e-01	0.000e+00
1.294e+00	-6.765e+02	-6.767255e+02	1.554e-01	0.000e+00
1.298e+00	-6.765e+02	-6.767062e+02	1.431e-01	0.000e+00
1.302e+00	-6.765e+02	-6.766826e+02	1.279e-01	0.000e+00
1.306e+00	-6.765e+02	-6.766586e+02	1.126e-01	0.000e+00
1.310e+00	-6.765e+02	-6.766387e+02	9.983e-02	0.000e+00
1.314e+00	-6.765e+02	-6.766266e+02	9.210e-02	0.000e+00
1.318e+00	-6.765e+02	-6.766247e+02	9.086e-02	0.000e+00
1.322e+00	-6.765e+02	-6.766333e+02	9.637e-02	0.000e+00
1.326e+00	-6.765e+02	-6.766508e+02	1.076e-01	0.000e+00
1.330e+00	-6.765e+02	-6.766740e+02	1.225e-01	0.000e+00
1.334e+00	-6.765e+02	-6.766987e+02	1.382e-01	0.000e+00
1.338e+00	-6.765e+02	-6.767205e+02	1.522e-01	0.000e+00
1.342e+00	-6.765e+02	-6.767358e+02	1.620e-01	0.000e+00
1.346e+00	-6.765e+02	-6.767425e+02	1.663e-01	0.000e+00
1.350e+00	-6.765e+02	-6.767399e+02	1.646e-01	0.000e+00
1.354e+00	-6.765e+02	-6.767292e+02	1.578e-01	0.000e+00
1.358e+00	-6.765e+02	-6.767129e+02	1.474e-01	0.000e+00
1.362e+00	-6.765e+02	-6.766944e+02	1.356e-01	0.000e+00
1.366e+00	-6.765e+02	-6.766774e+02	1.247e-01	0.000e+00
1.370e+00	-6.765e+02	-6.766652e+02	1.168e-01	0.000e+00
1.374e+00	-6.765e+02	-6.766599e+02	1.134e-01	0.000e+00
1.378e+00	-6.765e+02	-6.766624e+02	1.151e-01	0.000e+00
1.382e+00	-6.765e+02	-6.766721e+02	1.212e-01	0.000e+00
1.386e+00	-6.765e+02	-6.766865e+02	1.304e-01	0.000e+00
1.390e+00	-6.765e+02	-6.767023e+02	1.406e-01	0.000e+00
1.394e+00	-6.765e+02	-6.767158e+02	1.492e-01	0.000e+00
1.398e+00	-6.765e+02	-6.767237e+02	1.542e-01	0.000e+00
1.402e+00	-6.765e+02	-6.767237e+02	1.542e-01	0.000e+00
1.406e+00	-6.765e+02	-6.767153e+02	1.488e-01	0.000e+00
1.410e+00	-6.765e+02	-6.766998e+02	1.389e-01	0.000e+00
1.414e+00	-6.765e+02	-6.766802e+02	1.264e-01	0.000e+00
1.418e+00	-6.765e+02	-6.766606e+02	1.138e-01	0.000e+00
1.422e+00	-6.765e+02	-6.766449e+02	1.038e-01	0.000e+00
1.426e+00	-6.765e+02	-6.766368e+02	9.864e-02	0.000e+00
1.430e+00	-6.765e+02	-6.766381e+02	9.950e-02	0.000e+00
1.434e+00	-6.765e+02	-6.766491e+02	1.065e-01	0.000e+00
1.438e+00	-6.765e+02	-6.766680e+02	1.186e-01	0.000e+00
1.442e+00	-6.765e+02	-6.766917e+02	1.338e-01	0.000e+00
1.446e+00	-6.765e+02	-6.767162e+02	1.494e-01	0.000e+00
1.450e+00	-6.765e+02	-6.767373e+02	1.629e-01	0.000e+00
1.454e+00	-6.765e+02	-6.767516e+02	1.721e-01	0.000e+00
1.458e+00	-6.765e+02	-6.767570e+02	1.756e-01	0.000e+00
1.462e+00	-6.765e+02	-6.767531e+02	1.731e-01	0.000e+00
1.466e+00	-6.765e+02	-6.767409e+02	1.653e-01	0.000e+00
